,1208 HK Equity
,GHG_SCOPE_1
2011-12-31,209.479
2012-12-31,394.259
2013-12-31,434.491
2014-12-31,384.0
2016-12-31,560.413
2017-12-31,612.546
2018-12-31,611.245
2019-12-31,535.703
2020-12-31,536.823
2021-12-31,529.875
