,3015 TT Equity
,GHG_SCOPE_1
2013-12-31,1.563
2014-12-31,1.426
2015-12-31,1.292
2016-12-31,1.357
2017-12-31,1.368
2018-12-31,1.205
2019-12-31,1.199
2020-12-31,1.155
2021-12-31,1.371
