,1773 TT Equity
,GHG_SCOPE_1
2013-12-31,12.941
2014-12-31,4.881
2015-12-31,4.856
2016-12-31,8.666
2017-12-31,10.433
2018-12-31,12.677
2019-12-31,18.108
2020-12-31,32.898
2021-12-31,45.271
