,010140 KS Equity
,GHG_SCOPE_1
2011-12-31,239.853
2012-12-31,225.909
2013-12-31,237.831
2014-12-31,223.069
2015-12-31,200.441
2016-12-31,149.427
2017-12-31,250.236
2018-12-31,101.409
2019-12-31,133.726
2020-12-31,168.143
2021-12-31,156.099
