,6841 JP Equity
,GHG_SCOPE_1
2014-03-31,20.666
2015-03-31,15.762
2016-03-31,12.153
2017-03-31,12.58
2018-03-31,15.412
2019-03-31,15.015
2020-03-31,14.0
2021-03-31,11.727
2022-03-31,12.015
