,BANPU TB Equity
,GHG_SCOPE_1
2012-12-31,5557.5
2013-12-31,5720.0
2014-12-31,5230.0
2015-12-31,4710.0
2016-12-31,7500.0
2017-12-31,8100.0
2018-12-31,8438.47
2019-12-31,7545.28
2020-12-31,7759.88
2021-12-31,7340.67
