,2352 TT Equity
,GHG_SCOPE_1
2012-12-31,1.0
2013-12-31,2.0
2014-12-31,2.22
2015-12-31,2.37
2016-12-31,2.35
2017-12-31,2.582
2018-12-31,3.145
2019-12-31,2.439
2020-12-31,2.236
2021-12-31,2.289
