,OGC CN Equity
,GHG_SCOPE_1
2013-12-31,212.186
2014-12-31,184.337
2015-12-31,187.022
2016-12-31,137.456
2017-12-31,142.587
2018-12-31,123.986
2019-12-31,129.16
2020-12-31,150.778
2021-12-31,177.515
