,SMM SP Equity
,GHG_SCOPE_1
2011-12-31,259.158
2012-12-31,272.301
2013-12-31,70.175
2014-12-31,61.488
2015-12-31,60.189
2016-12-31,49.035
2017-12-31,58.664
2018-12-31,52.07
2019-12-31,52.208
2020-12-31,50.487
2021-12-31,61.911
