,VEDL IN Equity
,GHG_SCOPE_1
2011-03-31,713.669
2012-03-31,671.529
2013-03-31,588.524
2014-03-31,35949.102
2015-03-31,38274.801
2016-03-31,39581.102
2017-03-31,51740.0
2018-03-31,50990.0
2019-03-31,55000.0
2020-03-31,57480.0
2021-03-31,58930.0
2022-03-31,59486.699
