,7752 JP Equity
,GHG_SCOPE_1
2011-03-31,181.4
2012-03-31,180.0
2013-03-31,177.4
2014-03-31,183.5
2015-03-31,181.0
2016-03-31,178.2
2017-03-31,177.5
2018-03-31,173.4
2019-03-31,137.6
2020-03-31,132.0
2021-03-31,113.4
