,MMFS IN Equity
,GHG_SCOPE_1
2011-03-31,0.007
2012-03-31,0.211
2013-03-31,0.079
2014-03-31,0.087
2015-03-31,0.479
2016-03-31,0.127
2017-03-31,0.125
2018-03-31,0.134
2019-03-31,1.738
2020-03-31,3.37
2021-03-31,1.523
2022-03-31,2.518
