,2014 TT Equity
,GHG_SCOPE_1
2012-12-31,163.926
2013-12-31,162.356
2014-12-31,139.49
2015-12-31,154.692
2016-12-31,181.277
2017-12-31,175.43
2018-12-31,182.575
2019-12-31,165.848
2020-12-31,172.803
2021-12-31,168.087
