,2343 HK Equity
,GHG_SCOPE_1
2011-12-31,616.3
2012-12-31,528.3
2013-12-31,705.1
2014-12-31,902.0
2017-12-31,1332.0
2018-12-31,1412.0
2019-12-31,1427.0
2020-12-31,1477.0
2021-12-31,1615.0
