,BXB AU Equity
,GHG_SCOPE_1
2011-06-30,60.06
2012-06-30,72.23
2013-06-30,55.06
2014-06-30,78.9
2015-06-30,79.8
2016-06-30,72.1
2017-06-30,64.4
2018-06-30,49.6
2019-06-30,26.7
2020-06-30,28.3
2021-06-30,29.414
