,LOK LN Equity
,GHG_SCOPE_1
2011-07-31,0.142
2012-07-31,0.267
2013-07-31,0.292
2014-07-31,0.258
2015-07-31,0.255
2016-07-31,0.245
2017-07-31,0.213
2018-07-31,0.197
2019-07-31,0.17
2020-07-31,0.105
2021-07-31,0.075
2022-07-31,0.089
