,RWI LN Equity
,GHG_SCOPE_1
2011-03-31,473.003
2012-03-31,450.0
2013-03-31,436.0
2014-03-31,456.0
2015-03-31,394.0
2016-03-31,495.0
2017-03-31,528.0
2018-03-31,457.0
2019-03-31,435.0
2020-03-31,501.829
2021-03-31,455.612
2022-03-31,452.0
