,NCCB SS Equity
,GHG_SCOPE_1
2011-12-31,191.0
2012-12-31,219.0
2013-12-31,240.0
2014-12-31,221.0
2015-12-31,211.0
2018-12-31,217.0
2019-12-31,209.0
2020-12-31,179.0
2021-12-31,181.0
