,FCC SM Equity
,GHG_SCOPE_1
2011-12-31,11342.5
2012-12-31,10808.2
2013-12-31,8479.83
2014-12-31,9273.27
2015-12-31,9711.81
2016-12-31,9950.47
2017-12-31,7296.89
2018-12-31,5165.27
2019-12-31,7870.74
2020-12-31,6900.2
2021-12-31,6624.84
