,COLOB DC Equity
,GHG_SCOPE_1
2011-09-30,10.855
2012-09-30,9.505
2013-09-30,9.201
2014-09-30,7.901
2015-09-30,8.069
2016-09-30,9.318
2017-09-30,11.5
2018-09-30,10.674
2019-09-30,11.3
2020-09-30,11.101
2021-09-30,23.1
