,REP SM Equity
,GHG_SCOPE_1
2011-12-31,23055.801
2012-12-31,14052.4
2013-12-31,14177.1
2014-12-31,13800.0
2015-12-31,21040.0
2016-12-31,24900.0
2017-12-31,22900.0
2018-12-31,21900.0
2019-12-31,24700.0
2020-12-31,22000.0
2021-12-31,19400.0
