,XAR LN Equity
,GHG_SCOPE_1
2013-12-31,0.097
2014-12-31,0.162
2015-12-31,0.162
2016-12-31,0.167
2017-12-31,0.148
2018-12-31,0.125
2019-12-31,0.108
2020-12-31,0.074
2021-12-31,0.098
