,SSE LN Equity
,GHG_SCOPE_1
2012-03-31,24945.0
2013-03-31,24560.0
2014-03-31,20722.0
2015-03-31,13079.0
2016-03-31,11021.0
2017-03-31,8004.37
2018-03-31,10128.2
2019-03-31,8794.54
2020-03-31,8261.63
2021-03-31,7098.04
2022-03-31,5746.5
