,KNEBV FH Equity
,GHG_SCOPE_1
2011-12-31,101.9
2012-12-31,103.4
2013-12-31,100.0
2014-12-31,97.1
2015-12-31,99.7
2016-12-31,104.7
2017-12-31,105.7
2018-12-31,109.1
2019-12-31,109.3
2020-12-31,109.7
2021-12-31,118.7
