,SVS LN Equity
,GHG_SCOPE_1
2013-12-31,1.292
2014-12-31,1.638
2015-12-31,1.898
2016-12-31,2.518
2017-12-31,2.479
2018-12-31,2.162
2019-12-31,1.775
2020-12-31,1.68
2021-12-31,1.808
