,BB FP Equity
,GHG_SCOPE_1
2011-12-31,9.913
2012-12-31,9.131
2013-12-31,9.354
2014-12-31,8.94
2015-12-31,9.275
2016-12-31,8.689
2017-12-31,8.434
2018-12-31,9.813
2019-12-31,9.278
2020-12-31,7.659
2021-12-31,8.226
