,FUTR LN Equity
,GHG_SCOPE_1
2013-09-30,0.572
2014-09-30,0.484
2015-09-30,0.439
2016-09-30,0.131
2017-09-30,0.073
2018-09-30,0.097
2019-09-30,0.096
2020-09-30,0.109
2021-09-30,0.234
