,ISP IM Equity
,GHG_SCOPE_1
2011-12-31,55.06
2012-12-31,58.994
2013-12-31,59.27
2014-12-31,45.277
2015-12-31,43.93
2016-12-31,40.226
2017-12-31,40.749
2018-12-31,57.165
2019-12-31,45.398
2020-12-31,36.925
2021-12-31,49.63
