,EVK GR Equity
,GHG_SCOPE_1
2011-12-31,7581.7
2012-12-31,5964.0
2013-12-31,5875.3
2014-12-31,5934.1
2015-12-31,5593.2
2016-12-31,5380.2
2017-12-31,5609.8
2018-12-31,5688.6
2019-12-31,4923.0
2020-12-31,4802.0
2021-12-31,4483.0
