,KESKOB FH Equity
,GHG_SCOPE_1
2011-12-31,40.809
2012-12-31,40.448
2013-12-31,43.088
2014-12-31,44.005
2015-12-31,43.302
2016-12-31,43.002
2017-12-31,48.219
2018-12-31,45.139
2019-12-31,47.721
2020-12-31,38.538
2021-12-31,38.01
