,BGN IM Equity
,GHG_SCOPE_1
2012-12-31,0.432
2013-12-31,0.409
2014-12-31,0.398
2015-12-31,0.593
2016-12-31,0.384
2017-12-31,0.472
2018-12-31,0.265
2019-12-31,0.276
2020-12-31,0.286
2021-12-31,0.433
