,RWA LN Equity
,GHG_SCOPE_1
2013-12-31,0.106
2014-12-31,0.461
2015-12-31,0.608
2016-12-31,0.538
2017-12-31,0.586
2018-12-31,0.434
2019-12-31,0.5
2020-12-31,0.519
2021-12-31,0.529
