,GPE LN Equity
,GHG_SCOPE_1
2011-03-31,2.624
2012-03-31,2.418
2013-03-31,3.479
2014-03-31,2.744
2015-03-31,2.62
2016-03-31,2.69
2017-03-31,2.871
2018-03-31,2.435
2019-03-31,2.569
2020-03-31,1.808
2021-03-31,2.013
2022-03-31,2.254
