,BAS GR Equity
,GHG_SCOPE_1
2011-12-31,20920.0
2012-12-31,17749.0
2013-12-31,17915.0
2014-12-31,17612.0
2015-12-31,17304.0
2016-12-31,16875.0
2017-12-31,17689.0
2018-12-31,17820.0
2019-12-31,16560.0
2020-12-31,17526.0
2021-12-31,17721.0
