,UBSG SW Equity
,GHG_SCOPE_1
2013-12-31,22.621
2014-12-31,18.053
2015-12-31,13.34
2016-12-31,14.154
2017-12-31,13.305
2018-12-31,11.522
2019-12-31,10.574
2020-12-31,9.972
2021-12-31,10.726
