,TNET BB Equity
,GHG_SCOPE_1
2011-12-31,6.358
2012-12-31,6.937
2013-12-31,6.916
2014-12-31,6.385
2015-12-31,6.571
2016-12-31,8.928
2017-12-31,7.607
2018-12-31,8.155
2019-12-31,10.567
2020-12-31,6.7
2021-12-31,7.507
