,STERV FH Equity
,GHG_SCOPE_1
2011-12-31,2970.0
2012-12-31,2700.0
2013-12-31,2780.0
2014-12-31,2800.0
2015-12-31,2360.0
2016-12-31,2390.0
2017-12-31,2330.0
2018-12-31,2490.0
2019-12-31,2380.0
2020-12-31,2180.0
2021-12-31,2100.0
