,KLR LN Equity
,GHG_SCOPE_1
2013-12-31,135.179
2014-12-31,170.031
2015-12-31,168.392
2016-12-31,170.752
2017-12-31,214.0
2018-12-31,202.238
2019-12-31,198.289
2020-12-31,169.216
2021-12-31,183.112
