,AKE FP Equity
,GHG_SCOPE_1
2012-12-31,5120.0
2013-12-31,4710.0
2014-12-31,3430.0
2015-12-31,3000.0
2016-12-31,3110.0
2017-12-31,3085.0
2018-12-31,2807.0
2019-12-31,2698.0
2020-12-31,2268.0
2021-12-31,1822.0
