,ADM LN Equity
,GHG_SCOPE_1
2012-12-31,0.361
2013-12-31,0.036
2014-12-31,0.014
2015-12-31,0.551
2016-12-31,0.511
2017-12-31,0.334
2018-12-31,0.503
2019-12-31,0.495
2020-12-31,1.121
2021-12-31,1.477
