,CEC GR Equity
,GHG_SCOPE_1
2011-12-31,1084.51
2012-12-31,1132.69
2013-09-30,1068.71
2014-09-30,1015.16
2015-09-30,871.837
2016-09-30,760.186
2017-09-30,27.3
2018-09-30,28.5
2019-09-30,17.4
2020-09-30,22.6
2021-09-30,22.1
