,JMT PL Equity
,GHG_SCOPE_1
2011-12-31,199.133
2012-12-31,239.401
2013-12-31,251.019
2014-12-31,283.143
2015-12-31,237.941
2016-12-31,249.928
2017-12-31,237.911
2018-12-31,233.404
2019-12-31,212.304
2020-12-31,223.315
