,PUM GR Equity
,GHG_SCOPE_1
2011-12-31,6.616
2012-12-31,7.068
2013-12-31,6.689
2014-12-31,7.306
2015-12-31,7.296
2016-12-31,6.854
2017-12-31,7.678
2018-12-31,6.918
2019-12-31,6.326
2020-12-31,4.179
2021-12-31,4.046
