,DLAR LN Equity
,GHG_SCOPE_1
2013-03-30,36.548
2014-03-29,38.896
2015-03-28,39.868
2016-03-30,40.648
2017-03-30,40.985
2018-03-31,28.552
2019-03-31,4.547
2020-03-28,5.104
2021-03-27,4.827
2022-03-26,4.519
