,ROR LN Equity
,GHG_SCOPE_1
2011-12-31,4.409
2012-12-31,4.448
2013-12-31,5.024
2014-12-31,5.25
2015-12-31,5.725
2016-12-31,6.973
2017-12-31,5.645
2018-12-31,5.597
2019-12-31,4.575
2020-12-31,3.217
2021-12-31,3.686
