,SUN SW Equity
,GHG_SCOPE_1
2011-12-31,17.67
2012-12-31,19.12
2013-12-31,24.7
2014-12-31,21.761
2015-12-31,21.228
2016-12-31,17.69
2017-12-31,18.366
2018-12-31,18.979
2019-12-31,21.245
2020-12-31,21.545
2021-12-31,18.419
