,ITX SM Equity
,GHG_SCOPE_1
2011-01-31,22.87
2012-01-31,21.919
2013-01-31,24.479
2014-01-31,22.525
2015-01-31,21.347
2016-01-31,22.996
2017-01-31,20.689
2018-01-31,18.55
2019-01-31,21.055
2020-01-31,17.311
