,NG/ LN Equity
,GHG_SCOPE_1
2011-03-31,9330.0
2012-03-31,8310.0
2015-03-31,7000.0
2016-03-31,7000.0
2017-03-31,6912.63
2018-03-31,4754.67
2019-03-31,4491.96
2020-03-31,3900.0
2021-03-31,4727.0
2022-03-31,5271.0
