,ALFA SS Equity
,GHG_SCOPE_1
2011-12-31,15.825
2012-12-31,11.475
2013-12-31,8.791
2014-12-31,7.802
2015-12-31,12.034
2016-12-31,12.926
2017-12-31,19.24
2018-12-31,20.148
2019-12-31,18.063
2020-12-31,19.857
2021-12-31,18.735
