,AO/ LN Equity
,GHG_SCOPE_1
2014-03-31,12.936
2015-03-31,20.192
2016-03-31,24.408
2017-03-31,25.6
2018-03-31,25.608
2019-03-31,27.892
2020-03-31,26.587
2021-03-31,32.176
2022-03-31,38.081
