,TL5 SM Equity
,GHG_SCOPE_1
2011-12-31,0.109
2012-12-31,0.155
2013-12-31,0.257
2014-12-31,0.252
2015-12-31,0.231
2016-12-31,0.845
2017-12-31,1.278
2018-12-31,0.521
2019-12-31,0.525
2020-12-31,0.591
2021-12-31,0.79
