,SRT GR Equity
,GHG_SCOPE_1
2012-12-31,10.171
2013-12-31,7.937
2014-12-31,9.462
2015-12-31,11.405
2016-12-31,11.765
2017-12-31,12.429
2018-12-31,13.521
2019-12-31,16.71
2020-12-31,15.277
2021-12-31,19.147
