,VTY LN Equity
,GHG_SCOPE_1
2011-12-31,0.853
2012-12-31,0.923
2013-12-31,0.839
2014-12-31,4.168
2015-12-31,4.168
2016-12-31,4.78
2017-12-31,5.638
2018-12-31,4.902
2019-12-31,5.275
2020-12-31,5.97
2021-12-31,22.29
