,TSCO LN Equity
,GHG_SCOPE_1
2011-02-26,1889.77
2012-02-25,1465.49
2013-02-23,1418.8
2014-02-22,1370.0
2015-02-28,1313.29
2016-02-27,1347.15
2017-02-25,1236.98
2018-02-24,1306.98
2019-02-23,1328.54
2020-02-29,1252.04
2021-02-27,1053.15
2022-02-26,1110.1
