,SESG FP Equity
,GHG_SCOPE_1
2011-12-31,6.664
2012-12-31,6.993
2013-12-31,6.591
2014-12-31,6.546
2015-12-31,5.455
2016-12-31,2.418
2017-12-31,2.517
2018-12-31,2.524
2019-12-31,2.177
2020-12-31,2.51
