,CML LN Equity
,GHG_SCOPE_1
2014-03-31,0.154
2015-03-31,0.15
2016-03-31,0.139
2017-03-31,0.146
2018-03-31,0.134
2019-03-31,0.113
2020-03-31,0.127
2021-03-31,0.129
2022-03-31,0.131
