,EVR LN Equity
,GHG_SCOPE_1
2013-12-31,45820.0
2014-12-31,37590.0
2015-12-31,36870.0
2016-12-31,35950.0
2017-12-31,36690.0
2018-12-31,34560.0
2019-12-31,39090.0
2020-12-31,39410.0
2021-12-31,40170.0
