,TEF SM Equity
,GHG_SCOPE_1
2011-12-31,111.554
2012-12-31,109.708
2013-12-31,95.537
2014-12-31,94.893
2015-12-31,304.857
2016-12-31,301.999
2017-12-31,304.811
2018-12-31,261.364
2019-12-31,237.62
2020-12-31,212.682
2021-12-31,183.231
