,PHNX LN Equity
,GHG_SCOPE_1
2013-12-31,3.365
2014-12-31,1.028
2015-12-31,1.013
2016-12-31,1.078
2017-12-31,1.203
2018-12-31,3.463
2019-12-31,4.203
2020-12-31,4.913
2021-12-31,4.812
