,SRG IM Equity
,GHG_SCOPE_1
2011-12-31,2229.0
2012-12-31,2191.87
2013-12-31,2181.0
2014-12-31,1978.0
2015-12-31,1907.0
2016-12-31,1439.0
2017-12-31,1500.0
2018-12-31,1500.0
2019-12-31,1347.0
2020-12-31,1274.0
2021-12-31,1397.0
