,MOCORP FH Equity
,GHG_SCOPE_1
2011-12-31,2.841
2012-12-31,4.19
2013-12-31,3.91
2014-12-31,3.774
2015-12-31,4.431
2016-12-31,3.91
2017-12-31,4.287
2018-12-31,4.344
2019-12-31,4.206
2020-12-31,37.534
2021-12-31,43.048
