,BNZL LN Equity
,GHG_SCOPE_1
2011-12-31,89.286
2012-12-31,84.727
2013-12-31,89.397
2014-12-31,93.641
2015-12-31,92.645
2016-12-31,89.186
2017-12-31,92.687
2018-12-31,99.848
2019-12-31,99.193
2020-12-31,90.568
2021-12-31,87.125
