,CCOLA TI Equity
,GHG_SCOPE_1
2012-12-31,66.047
2013-12-31,64.935
2014-12-31,111.787
2015-12-31,104.635
2016-12-31,89.827
2017-12-31,93.617
2018-12-31,92.606
2019-12-31,89.138
2020-12-31,86.288
2021-12-31,125.382
