,MBTN SW Equity
,GHG_SCOPE_1
2012-12-31,0.48
2013-12-31,0.724
2014-12-31,0.665
2015-12-31,0.671
2016-12-31,0.77
2017-12-31,0.74
2018-12-31,0.786
2019-12-31,0.66
2020-12-31,0.674
2021-12-31,0.818
